"","Df","Deviance","Resid. Df","Resid. Dev"
"V471",1,0.00493012240423241,12724,428.021757331522
"V472",1,0.00327160075943311,12723,428.018485730763
"V473",1,0.00268011360907394,12722,428.015805617153
"V474",1,0.00903227501032688,12721,428.006773342143
"V475",1,0.00255592838232133,12720,428.004217413761
"V476",1,0.000498464916574903,12719,428.003718948844
"V477",1,0.00152686903345511,12718,428.002192079811
"V478",1,0.120242675412612,12717,427.881949404398
"V479",1,0.000285590989619777,12716,427.881663813409
"V480",1,7.21746690146574e-05,12715,427.88159163874
"V481",1,0.124530140286197,12714,427.757061498453
"V482",1,0.00340498912675002,12713,427.753656509327
"V483",0,0,12713,427.753656509327
"V484",1,0.000429745685551097,12712,427.753226763641
"V485",1,0.0169294817288232,12711,427.736297281912
"V486",1,0.00299713334067064,12710,427.733300148572
"V487",1,0.000288705541095169,12709,427.73301144303
"V488",1,1.04766475033102e-05,12708,427.733000966383
"V489",0,0,12708,427.733000966383
"V490",1,0.000144616624822902,12707,427.732856349758
"V491",1,0.000100856301230579,12706,427.732755493457
"V492",1,9.18347893730243e-07,12705,427.732754575109
"V493",1,0.000700314760706533,12704,427.732054260348
"V494",1,0.000607317930075624,12703,427.731446942418
"V495",1,0.00290792662292461,12702,427.728539015795
"V496",1,0.00271720346461279,12701,427.725821812331
"V497",1,0.00520618079212909,12700,427.720615631539
"V498",1,0.0422069096721884,12699,427.678408721866
"V499",1,1.73246922940962e-06,12698,427.678406989397
"V500",1,8.73830593945968e-05,12697,427.678319606338
"V501",1,0.000493748678536576,12696,427.677825857659
"V502",1,0.00154908883803273,12695,427.676276768821
"V503",1,0.00209139547945369,12694,427.674185373342
"V504",1,0.00652745995984105,12693,427.667657913382
"V505",1,7.61863228149195e-05,12692,427.667581727059
"V506",1,0.0399182065482364,12691,427.627663520511
"V507",1,0.00202853409689396,12690,427.625634986414
"V508",1,0.0045405329467485,12689,427.621094453467
"V509",1,0.000668324510058937,12688,427.620426128957
"V510",1,0.00037608320911886,12687,427.620050045748
"V511",1,6.78735034398414e-07,12686,427.620049367013
"V512",1,2.86961858364521e-06,12685,427.620046497394
"V513",1,0.00468948061654828,12684,427.615357016778
"V514",0,0,12684,427.615357016778
"V515",1,0.0031005306282168,12683,427.61225648615
"V516",1,0.000818537521581675,12682,427.611437948628
"V517",1,0.000609539448191754,12681,427.61082840918
"V518",1,0.000520219740963057,12680,427.610308189439
"V519",1,0.000129703856032393,12679,427.610178485583
"V520",1,0.00407369895282272,12678,427.60610478663
"V521",1,0.000410089595959562,12677,427.605694697034
"V522",1,0.00171270519842892,12676,427.603981991836
"V523",1,0.00444483855994804,12675,427.599537153276
"V524",1,5.67110134852555e-06,12674,427.599531482174
"V525",1,0.0018549673330881,12673,427.597676514841
"V526",1,0.00533741747562999,12672,427.592339097366
"V527",1,2.07735808999132e-07,12671,427.59233888963
"V528",1,0.000450017151933935,12670,427.591888872478
"V529",1,4.45487552269697e-06,12669,427.591884417602
"V530",1,0.000484642637161414,12668,427.591399774965
"V531",1,0.00246333594282078,12667,427.588936439022
"V532",1,0.00268695514779438,12666,427.586249483875
"V533",1,0.00113142761637164,12665,427.585118056258
"V534",1,0.021291243074586,12664,427.563826813184
"V535",1,0.0142106649712446,12663,427.549616148212
"V536",1,0.00926633229607887,12662,427.540349815916
"V537",1,0.0019793888097297,12661,427.538370427107
"V538",1,0.00480180805305963,12660,427.533568619053
"V539",1,0.00588620594214717,12659,427.527682413111
"V540",1,0.00723469080293171,12658,427.520447722308
"V541",1,0.000498338798195164,12657,427.51994938351
"V542",1,2.25895946641685e-05,12656,427.519926793916
"V543",1,2.15875604681059e-06,12655,427.519924635159
"V544",1,0.0165370275489636,12654,427.503387607611
"V545",1,9.13630935883702e-06,12653,427.503378471301
"V546",1,0.00251886824281655,12652,427.500859603058
"V547",1,0.0167321510582497,12651,427.484127452
"V548",1,0.00168265279285151,12650,427.482444799207
"V549",1,0.00354382673174314,12649,427.478900972476
"V550",1,0.000697141472301155,12648,427.478203831003
"V551",1,0.000169903546975547,12647,427.478033927456
"V552",1,0.00224014469620215,12646,427.47579378276
"V553",1,0.00134379939493101,12645,427.474449983365
